,link,title,year,marketing_year,price,price_text,price_info,id,category,make,model,badge,state,body_style,transmission,engine,build_date,odometer
0,https://www.carsales.com.au/cars/details/2013-ford-mondeo-lx-tdci-mc-auto/SSE-AD-14107974/?Cr=0&gts=SSE-AD-14107974&gtsSaleId=SSE-AD-14107974&gtsViewType=showcase&rankingType=showcase,2013 Ford Mondeo LX TDCi MC Auto,2013,,12750,"$12,750*",Excl. Govt. Charges,SSE-AD-14107974,private,Ford,Mondeo,   LX TDCi MC ,NSW,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"62,600 km"
1,https://www.carsales.com.au/cars/details/2011-ford-mondeo-lx-tdci-mc-auto/SSE-AD-14126316/?Cr=0&gts=SSE-AD-14126316&gtsSaleId=SSE-AD-14126316&gtsViewType=showcase&rankingType=showcase,2011 Ford Mondeo LX TDCi MC Auto,2011,,13500,"$13,500*",Excl. Govt. Charges,SSE-AD-14126316,private,Ford,Mondeo,   LX TDCi MC ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"108,884 km"
2,https://www.carsales.com.au/cars/details/2016-ford-mondeo-ambiente-md-auto/SSE-AD-13940820/?Cr=2,2016 Ford Mondeo Ambiente MD Auto,2016,,14495,"$14,495*",Excl. Govt. Charges,SSE-AD-13940820,private,Ford,Mondeo,   Ambiente MD ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"165,710 km"
3,https://www.carsales.com.au/cars/details/2016-ford-mondeo-ambiente-md-auto/SSE-AD-14093095/?Cr=3,2016 Ford Mondeo Ambiente MD Auto,2016,,14500,"$14,500*",Excl. Govt. Charges,SSE-AD-14093095,private,Ford,Mondeo,   Ambiente MD ,SA,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"178,000 km"
4,https://www.carsales.com.au/cars/details/2013-ford-mondeo-lx-mc-auto/SSE-AD-14021053/?Cr=4,2013 Ford Mondeo LX MC Auto,2013,,8000,"$8,000*",Excl. Govt. Charges,SSE-AD-14021053,private,Ford,Mondeo,   LX MC ,NSW,Hatch,Automatic,4cyl 2.3L Petrol,,"155,700 km"
5,https://www.carsales.com.au/cars/details/2015-ford-mondeo-trend-md-auto/SSE-AD-14090928/?Cr=5,2015 Ford Mondeo Trend MD Auto,2015,,19590,"$19,590*",Excl. Govt. Charges,SSE-AD-14090928,private,Ford,Mondeo,   Trend MD ,QLD,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"74,592 km"
6,https://www.carsales.com.au/cars/details/2012-ford-mondeo-lx-tdci-mc-auto/SSE-AD-14165831/?Cr=6,2012 Ford Mondeo LX TDCi MC Auto,2012,,6250,"$6,250*",Excl. Govt. Charges,SSE-AD-14165831,private,Ford,Mondeo,   LX TDCi MC ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"270,499 km"
7,https://www.carsales.com.au/cars/details/2017-ford-mondeo-trend-md-auto-my18-25/SSE-AD-14109341/?Cr=7,2017 Ford Mondeo Trend MD Auto MY18.25,2017,MY18.25,19900,"$19,900*",Excl. Govt. Charges,SSE-AD-14109341,private,Ford,Mondeo,   Trend MD  ,QLD,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"151,000 km"
8,https://www.carsales.com.au/cars/details/2008-ford-mondeo-tdci-ma-auto/SSE-AD-14106068/?Cr=8,2008 Ford Mondeo TDCi MA Auto,2008,,3000,"$3,000*",Excl. Govt. Charges,SSE-AD-14106068,private,Ford,Mondeo,   TDCi MA ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"269,766 km"
9,https://www.carsales.com.au/cars/details/2017-ford-mondeo-ambiente-md-auto-my17-5/OAG-AD-21378241/?Cr=9,2017 Ford Mondeo Ambiente MD Auto MY17.5,2017,MY17.5,24990,"$24,990*",Excl. Govt. Charges,OAG-AD-21378241,dealer,Ford,Mondeo,   Ambiente MD  ,SA,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"54,012 km"
