,link,title,year,marketing_year,drive_away_price,ex_gov_price,price_text,price_info,kms,id,category,make,model,badge,state,body_style,transmission,engine,seller_type,build_date,odometer
0,https://www.carsales.com.au/cars/details/2011-ford-mondeo-lx-tdci-mc-auto/SSE-AD-14164167/?Cr=0,2011 Ford Mondeo LX TDCi MC Auto,2011,,,2200,"$2,200*",Excl. Govt. Charges,330000,SSE-AD-14164167,private,Ford,Mondeo,LX TDCi MC,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"330,000 km"
1,https://www.carsales.com.au/cars/details/2008-ford-mondeo-tdci-ma-auto/SSE-AD-14106068/?Cr=1,2008 Ford Mondeo TDCi MA Auto,2008,,,3000,"$3,000*",Excl. Govt. Charges,269766,SSE-AD-14106068,private,Ford,Mondeo,TDCi MA,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"269,766 km"
2,https://www.carsales.com.au/cars/details/2014-ford-mondeo-zetec-tdci-mc-auto/SSE-AD-14182199/?Cr=2,2014 Ford Mondeo Zetec TDCi MC Auto,2014,,,3500,"$3,500*",Excl. Govt. Charges,367600,SSE-AD-14182199,private,Ford,Mondeo,Zetec TDCi MC,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"367,600 km"
3,https://www.carsales.com.au/cars/details/2010-ford-mondeo-lx-mc-auto/SSE-AD-13421770/?Cr=3,2010 Ford Mondeo LX MC Auto,2010,,,4500,"$4,500*",Excl. Govt. Charges,203747,SSE-AD-13421770,private,Ford,Mondeo,LX MC,VIC,Wagon,Automatic,4cyl 2.3L Petrol,Private Seller Car,,"203,747 km"
4,https://www.carsales.com.au/cars/details/2008-ford-mondeo-tdci-ma-auto/SSE-AD-13780126/?Cr=4,2008 Ford Mondeo TDCi MA Auto,2008,,,4800,"$4,800*",Excl. Govt. Charges,312000,SSE-AD-13780126,private,Ford,Mondeo,TDCi MA,SA,Hatch,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"312,000 km"
5,https://www.carsales.com.au/cars/details/2010-ford-mondeo-lx-tdci-mc-auto/SSE-AD-13128956/?Cr=5,2010 Ford Mondeo LX TDCi MC Auto,2010,,,5500,"$5,500*",Excl. Govt. Charges,248572,SSE-AD-13128956,private,Ford,Mondeo,LX TDCi MC,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"248,572 km"
6,https://www.carsales.com.au/cars/details/2011-ford-mondeo-lx-tdci-mc-auto/SSE-AD-13748006/?Cr=6,2011 Ford Mondeo LX TDCi MC Auto,2011,,,5500,"$5,500*",Excl. Govt. Charges,392889,SSE-AD-13748006,private,Ford,Mondeo,LX TDCi MC,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"392,889 km"
7,https://www.carsales.com.au/cars/details/2010-ford-mondeo-zetec-tdci-mb-auto-my11/SSE-AD-13733997/?Cr=7,2010 Ford Mondeo Zetec TDCi MB Auto MY11,2010,MY11,,5999,"$5,999*",Excl. Govt. Charges,290000,SSE-AD-13733997,private,Ford,Mondeo,Zetec TDCi MB,SA,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"290,000 km"
8,https://www.carsales.com.au/cars/details/2008-ford-mondeo-zetec-ma-auto/SSE-AD-14168131/?Cr=8,2008 Ford Mondeo Zetec MA Auto,2008,,,6000,"$6,000*",Excl. Govt. Charges,133194,SSE-AD-14168131,private,Ford,Mondeo,Zetec MA,VIC,Hatch,Automatic,4cyl 2.3L Petrol,Private Seller Car,,"133,194 km"
9,https://www.carsales.com.au/cars/details/2013-ford-mondeo-zetec-tdci-mc-auto/SSE-AD-12997481/?Cr=9,2013 Ford Mondeo Zetec TDCi MC Auto,2013,,,6000,"$6,000*",Excl. Govt. Charges,160150,SSE-AD-12997481,private,Ford,Mondeo,Zetec TDCi MC,QLD,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"160,150 km"
10,https://www.carsales.com.au/cars/details/2012-ford-mondeo-lx-tdci-mc-auto/SSE-AD-12679620/?Cr=10,2012 Ford Mondeo LX TDCi MC Auto,2012,,,6000,"$6,000*",Excl. Govt. Charges,245000,SSE-AD-12679620,private,Ford,Mondeo,LX TDCi MC,WA,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"245,000 km"
11,https://www.carsales.com.au/cars/details/2012-ford-mondeo-lx-tdci-mc-auto/SSE-AD-14165831/?Cr=11,2012 Ford Mondeo LX TDCi MC Auto,2012,,,6250,"$6,250*",Excl. Govt. Charges,270499,SSE-AD-14165831,private,Ford,Mondeo,LX TDCi MC,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"270,499 km"
12,https://www.carsales.com.au/cars/details/2009-ford-mondeo-tdci-ma-auto/SSE-AD-13244102/?Cr=12,2009 Ford Mondeo TDCi MA Auto,2009,,,6500,"$6,500*",Excl. Govt. Charges,320000,SSE-AD-13244102,private,Ford,Mondeo,TDCi MA,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"320,000 km"
13,https://www.carsales.com.au/cars/details/2011-ford-mondeo-zetec-tdci-mc-auto/SSE-AD-5987384/?Cr=13,2011 Ford Mondeo Zetec TDCi MC Auto,2011,,,7200,"$7,200*",Excl. Govt. Charges,276000,SSE-AD-5987384,private,Ford,Mondeo,Zetec TDCi MC,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"276,000 km"
14,https://www.carsales.com.au/cars/details/2010-ford-mondeo-lx-mb-auto/SSE-AD-14191961/?Cr=14,2010 Ford Mondeo LX MB Auto,2010,,,7250,"$7,250*",Excl. Govt. Charges,206427,SSE-AD-14191961,private,Ford,Mondeo,LX MB,ACT,Hatch,Automatic,4cyl 2.3L Petrol,Private Seller Car,,"206,427 km"
