,link,title,year,marketing_year,price,price_text,price_info,price_info_price,kms,id,category,make,model,badge,state,body_style,transmission,engine,build_date,odometer
0,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21389153/?Cr=0,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,27999.0,"$27,999*",Excl. Govt. Charges,27999.0,102041,OAG-AD-21389153,dealer,Subaru,Outback,   2.5i 5GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"102,041 km"
1,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21359395/?Cr=1,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,28990.0,"$28,990*",Excl. Govt. Charges,28990.0,128798,OAG-AD-21359395,dealer,Subaru,Outback,   2.5i 5GEN   ,SA,SUV,Automatic,4cyl 2.5L Petrol,,"128,798 km"
2,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-0d-5gen-auto-awd-my19/OAG-AD-21115293/?Cr=2,2019 Subaru Outback 2.0D 5GEN Auto AWD MY19,2019,MY19,28990.0,"$28,990*",Excl. Govt. Charges,28990.0,165089,OAG-AD-21115293,dealer,Subaru,Outback,   2.0D 5GEN   ,QLD,SUV,Automatic,4cyl 2.0L Turbo Diesel,,"165,089 km"
3,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-20906499/?Cr=3,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,29888.0,"$29,888*",Excl. Govt. Charges,29888.0,188799,OAG-AD-20906499,dealer,Subaru,Outback,   2.5i 5GEN   ,VIC,SUV,Automatic,4cyl 2.5L Petrol,,"188,799 km"
4,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21393101/?Cr=4,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,29990.0,"$29,990*",Excl. Govt. Charges,29990.0,126520,OAG-AD-21393101,dealer,Subaru,Outback,   2.5i 5GEN   ,WA,SUV,Automatic,4cyl 2.5L Petrol,,"126,520 km"
5,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21048393/?Cr=5,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,30777.0,"$30,777*",Excl. Govt. Charges,30777.0,124540,OAG-AD-21048393,dealer,Subaru,Outback,   2.5i 5GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"124,540 km"
6,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/SSE-AD-13891105/?Cr=6,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,31500.0,"$31,500*",Excl. Govt. Charges,31500.0,96000,SSE-AD-13891105,private,Subaru,Outback,   2.5i 5GEN   ,VIC,SUV,Automatic,4cyl 2.5L Petrol,,"96,000 km"
7,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21391709/?Cr=7,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,31950.0,"$31,950*",Excl. Govt. Charges,31950.0,99977,OAG-AD-21391709,dealer,Subaru,Outback,   2.5i 5GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"99,977 km"
8,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-20884736/?Cr=8,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,33490.0,"$33,490 Drive Away","$32,096 Excl. Est. Govt. Charges",32096.0,119175,OAG-AD-20884736,dealer,Subaru,Outback,   2.5i 5GEN   ,VIC,SUV,Automatic,4cyl 2.5L Petrol,,"119,175 km"
9,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-20752306/?Cr=9,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,33950.0,"$33,950 Drive Away","$32,930 Excl. Est. Govt. Charges",32930.0,59620,OAG-AD-20752306,dealer,Subaru,Outback,   2.5i 5GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"59,620 km"
10,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-20999204/?Cr=10,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,33990.0,"$33,990 Drive Away","$32,970 Excl. Est. Govt. Charges",32970.0,60012,OAG-AD-20999204,dealer,Subaru,Outback,   2.5i 5GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"60,012 km"
11,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-premium-5gen-auto-awd-my19/OAG-AD-21353650/?Cr=11,2019 Subaru Outback 2.5i Premium 5GEN Auto AWD MY19,2019,MY19,33990.0,"$33,990 Drive Away","$32,970 Excl. Est. Govt. Charges",32970.0,117703,OAG-AD-21353650,dealer,Subaru,Outback,   2.5i Premium 5GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"117,703 km"
12,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-5i-5gen-auto-awd-my19/OAG-AD-21158916/?Cr=12,2019 Subaru Outback 2.5i 5GEN Auto AWD MY19,2019,MY19,33990.0,"$33,990 Drive Away","$32,970 Excl. Est. Govt. Charges",32970.0,78466,OAG-AD-21158916,dealer,Subaru,Outback,   2.5i 5GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"78,466 km"
13,https://www.carsales.com.au/cars/details/2019-subaru-outback-2-0d-5gen-auto-awd-my19/OAG-AD-21428380/?Cr=13,2019 Subaru Outback 2.0D 5GEN Auto AWD MY19,2019,MY19,32990.0,"$32,990*",Excl. Govt. Charges,32990.0,76587,OAG-AD-21428380,dealer,Subaru,Outback,   2.0D 5GEN   ,VIC,SUV,Automatic,4cyl 2.0L Turbo Diesel,,"76,587 km"
