,link,title,year,marketing_year,drive_away_price,ex_gov_price,price_text,price_info,kms,id,category,make,model,badge,state,body_style,transmission,engine,seller_type,build_date,odometer
0,https://www.carsales.com.au/cars/details/2007-subaru-outback-premium-pack-3gen-auto-awd-my08/SSE-AD-14035911/?Cr=0,2007 Subaru Outback Premium Pack 3GEN Auto AWD MY08,2007,MY08,,4495.0,"$4,495*",Excl. Govt. Charges,342222,SSE-AD-14035911,private,Subaru,Outback,Premium Pack 3GEN  AWD,NSW,SUV,Automatic,4cyl 2.5L Petrol,Private Seller Car,,"342,222 km"
1,https://www.carsales.com.au/cars/details/2009-subaru-outback-2-0d-4gen-manual-awd-my10/SSE-AD-13829377/?Cr=1,2009 Subaru Outback 2.0D 4GEN Manual AWD MY10,2009,MY10,,5950.0,"$5,950*",Excl. Govt. Charges,355000,SSE-AD-13829377,private,Subaru,Outback,2.0D 4GEN Manual AWD,TAS,SUV,Manual,4cyl 2.0L Turbo Diesel,Private Seller Car,,"355,000 km"
2,https://www.carsales.com.au/cars/details/2007-subaru-outback-3gen-auto-awd-my08/SSE-AD-14094964/?Cr=2,2007 Subaru Outback 3GEN Auto AWD MY08,2007,MY08,,6666.0,"$6,666*",Excl. Govt. Charges,345000,SSE-AD-14094964,private,Subaru,Outback,3GEN  AWD,NSW,SUV,Automatic,4cyl 2.5L Petrol,Private Seller Car,,"345,000 km"
3,https://www.carsales.com.au/cars/details/2010-subaru-outback-2-0d-4gen-manual-awd-my10/OAG-AD-21447187/?Cr=3,2010 Subaru Outback 2.0D 4GEN Manual AWD MY10,2010,MY10,,6990.0,"$6,990*",Excl. Govt. Charges,342974,OAG-AD-21447187,dealer,Subaru,Outback,2.0D 4GEN Manual AWD,NSW,SUV,Manual,4cyl 2.0L Turbo Diesel,Dealer Used Car,,"342,974 km"
4,https://www.carsales.com.au/cars/details/2010-subaru-outback-2-5i-4gen-auto-awd-my10/SSE-AD-14142256/?Cr=4,2010 Subaru Outback 2.5i 4GEN Auto AWD MY10,2010,MY10,,7000.0,"$7,000*",Excl. Govt. Charges,223870,SSE-AD-14142256,private,Subaru,Outback,2.5i 4GEN  AWD,VIC,SUV,Automatic,4cyl 2.5L Petrol,Private Seller Car,,"223,870 km"
5,https://www.carsales.com.au/cars/details/2008-subaru-outback-3gen-manual-d-range-awd-my08/SSE-AD-13161742/?Cr=5,2008 Subaru Outback 3GEN Manual D/Range AWD MY08,2008,MY08,,7000.0,"$7,000*",Excl. Govt. Charges,270000,SSE-AD-13161742,private,Subaru,Outback,3GEN Manual D/Range AWD,NSW,SUV,Manual,4cyl 2.5L Petrol,Private Seller Car,,"270,000 km"
6,https://www.carsales.com.au/cars/details/2011-subaru-outback-3-6r-premium-4gen-auto-awd-my11/SSE-AD-13883470/?Cr=6,2011 Subaru Outback 3.6R Premium 4GEN Auto AWD MY11,2011,MY11,,7200.0,"$7,200*",Excl. Govt. Charges,191366,SSE-AD-13883470,private,Subaru,Outback,3.6R Premium 4GEN  AWD,QLD,SUV,Automatic,6cyl 3.6L Petrol,Private Seller Car,,"191,366 km"
7,https://www.carsales.com.au/cars/details/2007-subaru-outback-3gen-manual-d-range-awd-my07/SSE-AD-13597719/?Cr=7,2007 Subaru Outback 3GEN Manual D/Range AWD MY07,2007,MY07,,7299.0,"$7,299*",Excl. Govt. Charges,215750,SSE-AD-13597719,private,Subaru,Outback,3GEN Manual D/Range AWD,NSW,SUV,Manual,4cyl 2.5L Petrol,Private Seller Car,,"215,750 km"
8,https://www.carsales.com.au/cars/details/2011-subaru-outback-2-5i-columbia-4gen-auto-awd-my11/SSE-AD-12930506/?Cr=8,2011 Subaru Outback 2.5i Columbia 4GEN Auto AWD MY11,2011,MY11,,7500.0,"$7,500*",Excl. Govt. Charges,240000,SSE-AD-12930506,private,Subaru,Outback,2.5i Columbia 4GEN  AWD,NSW,SUV,Automatic,4cyl 2.5L Petrol,Private Seller Car,,"240,000 km"
9,https://www.carsales.com.au/cars/details/2007-subaru-outback-r-premium-pack-3gen-auto-awd-my08/SSE-AD-13772253/?Cr=9,2007 Subaru Outback R Premium Pack 3GEN Auto AWD MY08,2007,MY08,,7800.0,"$7,800*",Excl. Govt. Charges,274000,SSE-AD-13772253,private,Subaru,Outback,R Premium Pack 3GEN  AWD,NSW,SUV,Automatic,6cyl 3.0L Petrol,Private Seller Car,,"274,000 km"
10,https://www.carsales.com.au/cars/details/2009-subaru-outback-premium-pack-3gen-auto-awd-my09/SSE-AD-12204160/?Cr=10,2009 Subaru Outback Premium Pack 3GEN Auto AWD MY09,2009,MY09,,7900.0,"$7,900*",Excl. Govt. Charges,291000,SSE-AD-12204160,private,Subaru,Outback,Premium Pack 3GEN  AWD,QLD,SUV,Automatic,4cyl 2.5L Petrol,Private Seller Car,,"291,000 km"
11,https://www.carsales.com.au/cars/details/2010-subaru-outback-2-0d-premium-4gen-manual-awd-my10/SSE-AD-14014674/?Cr=11,2010 Subaru Outback 2.0D Premium 4GEN Manual AWD MY10,2010,MY10,,7950.0,"$7,950*",Excl. Govt. Charges,271588,SSE-AD-14014674,private,Subaru,Outback,2.0D Premium 4GEN Manual AWD,NSW,SUV,Manual,4cyl 2.0L Turbo Diesel,Private Seller Car,,"271,588 km"
12,https://www.carsales.com.au/cars/details/2009-subaru-outback-3gen-auto-awd-my09/OAG-AD-21190869/?Cr=12,2009 Subaru Outback 3GEN Auto AWD MY09,2009,MY09,,7984.0,"$7,984*",Excl. Govt. Charges,233217,OAG-AD-21190869,dealer,Subaru,Outback,3GEN  AWD,NSW,SUV,Automatic,4cyl 2.5L Petrol,Dealer Used Car,,"233,217 km"
