,link,title,year,marketing_year,drive_away_price,ex_gov_price,price_text,price_info,kms,id,category,make,model,badge,state,body_style,transmission,engine,seller_type,build_date,odometer
0,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-bluemotion-vi-manual-my12-5/SSE-AD-15707391/?Cr=0,2012 Volkswagen Golf BlueMOTION VI Manual MY12.5,2012,MY12.5,,6000,"$6,000*",Excl. Govt. Charges,288000,SSE-AD-15707391,private,Volkswagen,Golf,BlueMOTION VI Manual,QLD,Hatch,Manual,4cyl 1.6L Turbo Diesel,Private Seller Car,,"288,000 km"
1,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-trendline-vi-auto-my12-5/SSE-AD-15986072/?Cr=1,2012 Volkswagen Golf 90TSI Trendline VI Auto MY12.5,2012,MY12.5,,6500,"$6,500*",Excl. Govt. Charges,219000,SSE-AD-15986072,private,Volkswagen,Golf,90TSI Trendline VI,NSW,Wagon,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"219,000 km"
2,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-77tsi-vi-manual-my13/SSE-AD-15844303/?Cr=2,2012 Volkswagen Golf 77TSI VI Manual MY13,2012,MY13,,6900,"$6,900*",Excl. Govt. Charges,187000,SSE-AD-15844303,private,Volkswagen,Golf,77TSI VI Manual,NSW,Hatch,Manual,4cyl 1.2L Turbo Petrol,Private Seller Car,,"187,000 km"
3,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-7-manual/SSE-AD-15855441/?Cr=3,2012 Volkswagen Golf 90TSI 7 Manual,2012,,,6999,"$6,999*",Excl. Govt. Charges,217770,SSE-AD-15855441,private,Volkswagen,Golf,90TSI 7 Manual,QLD,Hatch,Manual,4cyl 1.4L Turbo Petrol,Private Seller Car,,"217,770 km"
4,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-trendline-vi-auto-my12-5/SSE-AD-16032242/?Cr=4,2012 Volkswagen Golf 90TSI Trendline VI Auto MY12.5,2012,MY12.5,,7000,"$7,000*",Excl. Govt. Charges,191000,SSE-AD-16032242,private,Volkswagen,Golf,90TSI Trendline VI,QLD,Wagon,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"191,000 km"
5,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-110tdi-highline-7-auto/SSE-AD-15975017/?Cr=5,2012 Volkswagen Golf 110TDI Highline 7 Auto,2012,,,7300,"$7,300*",Excl. Govt. Charges,241000,SSE-AD-15975017,private,Volkswagen,Golf,110TDI Highline 7,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"241,000 km"
6,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-103tdi-comfortline-vi-auto-my12-5/SSE-AD-15942866/?Cr=6,2012 Volkswagen Golf 103TDI Comfortline VI Auto MY12.5,2012,MY12.5,,7500,"$7,500*",Excl. Govt. Charges,186000,SSE-AD-15942866,private,Volkswagen,Golf,103TDI Comfortline VI,SA,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"186,000 km"
7,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-bluemotion-vi-manual-my12-5/SSE-AD-16034543/?Cr=7,2012 Volkswagen Golf BlueMOTION VI Manual MY12.5,2012,MY12.5,,8000,"$8,000*",Excl. Govt. Charges,207000,SSE-AD-16034543,private,Volkswagen,Golf,BlueMOTION VI Manual,NSW,Hatch,Manual,4cyl 1.6L Turbo Diesel,Private Seller Car,,"207,000 km"
8,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-118tsi-comfortline-vi-auto-my12-5/SSE-AD-15694363/?Cr=8,2012 Volkswagen Golf 118TSI Comfortline VI Auto MY12.5,2012,MY12.5,,8000,"$8,000*",Excl. Govt. Charges,167000,SSE-AD-15694363,private,Volkswagen,Golf,118TSI Comfortline VI,NSW,Wagon,Automatic,4cyl 1.4L TSPetrol,Private Seller Car,,"167,000 km"
9,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-103tdi-comfortline-vi-auto-my13/SSE-AD-15849439/?Cr=9,2012 Volkswagen Golf 103TDI Comfortline VI Auto MY13,2012,MY13,,8000,"$8,000*",Excl. Govt. Charges,258000,SSE-AD-15849439,private,Volkswagen,Golf,103TDI Comfortline VI,NSW,Hatch,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"258,000 km"
10,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-103tdi-comfortline-vi-auto-my12-5/SSE-AD-15557839/?Cr=10,2012 Volkswagen Golf 103TDI Comfortline VI Auto MY12.5,2012,MY12.5,,8900,"$8,900*",Excl. Govt. Charges,207882,SSE-AD-15557839,private,Volkswagen,Golf,103TDI Comfortline VI,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"207,882 km"
11,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-7-auto/SSE-AD-15462352/?Cr=11,2012 Volkswagen Golf 90TSI 7 Auto,2012,,,8999,"$8,999*",Excl. Govt. Charges,264248,SSE-AD-15462352,private,Volkswagen,Golf,90TSI 7,QLD,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"264,248 km"
12,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-103tdi-comfortline-vi-auto-my12-5/SSE-AD-15779269/?Cr=12,2012 Volkswagen Golf 103TDI Comfortline VI Auto MY12.5,2012,MY12.5,,9000,"$9,000*",Excl. Govt. Charges,210800,SSE-AD-15779269,private,Volkswagen,Golf,103TDI Comfortline VI,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"210,800 km"
13,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-118tsi-comfortline-vi-auto-my13/SSE-AD-12774088/?Cr=13,2012 Volkswagen Golf 118TSI Comfortline VI Auto MY13,2012,MY13,,9000,"$9,000*",Excl. Govt. Charges,228000,SSE-AD-12774088,private,Volkswagen,Golf,118TSI Comfortline VI,QLD,Hatch,Automatic,4cyl 1.4L TSPetrol,Private Seller Car,,"228,000 km"
14,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-comfortline-7-auto/SSE-AD-15897702/?Cr=14,2012 Volkswagen Golf 90TSI Comfortline 7 Auto,2012,,,9000,"$9,000*",Excl. Govt. Charges,190540,SSE-AD-15897702,private,Volkswagen,Golf,90TSI Comfortline 7,VIC,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"190,540 km"
15,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-7-auto/SSE-AD-15690092/?Cr=15,2012 Volkswagen Golf 90TSI 7 Auto,2012,,,9000,"$9,000*",Excl. Govt. Charges,194000,SSE-AD-15690092,private,Volkswagen,Golf,90TSI 7,VIC,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"194,000 km"
16,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-103tdi-comfortline-vi-auto-my12-5/SSE-AD-15944745/?Cr=16,2012 Volkswagen Golf 103TDI Comfortline VI Auto MY12.5,2012,MY12.5,,9200,"$9,200*",Excl. Govt. Charges,180000,SSE-AD-15944745,private,Volkswagen,Golf,103TDI Comfortline VI,TAS,Wagon,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"180,000 km"
17,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-7-auto/SSE-AD-16043429/?Cr=17,2012 Volkswagen Golf 90TSI 7 Auto,2012,,,9500,"$9,500*",Excl. Govt. Charges,159056,SSE-AD-16043429,private,Volkswagen,Golf,90TSI 7,QLD,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"159,056 km"
18,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-118tsi-comfortline-vi-auto-my12-5/SSE-AD-12264238/?Cr=18,2012 Volkswagen Golf 118TSI Comfortline VI Auto MY12.5,2012,MY12.5,,9500,"$9,500*",Excl. Govt. Charges,130800,SSE-AD-12264238,private,Volkswagen,Golf,118TSI Comfortline VI,NSW,Hatch,Automatic,4cyl 1.4L TSPetrol,Private Seller Car,,"130,800 km"
19,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-103tdi-comfortline-vi-auto-my12-5/OAG-AD-22527388/?Cr=19,2012 Volkswagen Golf 103TDI Comfortline VI Auto MY12.5,2012,MY12.5,9990.0,9543,"$9,990 Drive Away","$9,543 Excl. Est. Govt. Charges",192142,OAG-AD-22527388,dealer,Volkswagen,Golf,103TDI Comfortline VI,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,Dealer Used Car,,"192,142 km"
20,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-103tdi-comfortline-vi-auto-my12-5/SSE-AD-16124201/?Cr=20,2012 Volkswagen Golf 103TDI Comfortline VI Auto MY12.5,2012,MY12.5,,9900,"$9,900*",Excl. Govt. Charges,171760,SSE-AD-16124201,private,Volkswagen,Golf,103TDI Comfortline VI,QLD,Hatch,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"171,760 km"
21,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-bluemotion-vi-manual-my12-5/SSE-AD-16038155/?Cr=21,2012 Volkswagen Golf BlueMOTION VI Manual MY12.5,2012,MY12.5,,10000,"$10,000*",Excl. Govt. Charges,157350,SSE-AD-16038155,private,Volkswagen,Golf,BlueMOTION VI Manual,SA,Hatch,Manual,4cyl 1.6L Turbo Diesel,Private Seller Car,,"157,350 km"
22,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-103tdi-comfortline-vi-auto-my12-5/SSE-AD-16059841/?Cr=22,2012 Volkswagen Golf 103TDI Comfortline VI Auto MY12.5,2012,MY12.5,,10000,"$10,000*",Excl. Govt. Charges,224000,SSE-AD-16059841,private,Volkswagen,Golf,103TDI Comfortline VI,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,Private Seller Car,,"224,000 km"
23,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-77tsi-vi-manual-my12-5/SSE-AD-12417379/?Cr=23,2012 Volkswagen Golf 77TSI VI Manual MY12.5,2012,MY12.5,,10000,"$10,000*",Excl. Govt. Charges,121600,SSE-AD-12417379,private,Volkswagen,Golf,77TSI VI Manual,NSW,Hatch,Manual,4cyl 1.2L Turbo Petrol,Private Seller Car,,"121,600 km"
24,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-7-manual/SSE-AD-16033343/?Cr=24,2012 Volkswagen Golf 90TSI 7 Manual,2012,,,10100,"$10,100*",Excl. Govt. Charges,115180,SSE-AD-16033343,private,Volkswagen,Golf,90TSI 7 Manual,SA,Hatch,Manual,4cyl 1.4L Turbo Petrol,Private Seller Car,,"115,180 km"
25,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-trendline-vi-auto-my12-5/SSE-AD-12173563/?Cr=25,2012 Volkswagen Golf 90TSI Trendline VI Auto MY12.5,2012,MY12.5,,10250,"$10,250*",Excl. Govt. Charges,127000,SSE-AD-12173563,private,Volkswagen,Golf,90TSI Trendline VI,NSW,Hatch,Automatic,4cyl 1.4L Turbo Petrol,Private Seller Car,,"127,000 km"
26,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-77tsi-vi-auto-my12-5/SSE-AD-15915410/?Cr=26,2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,MY12.5,,10500,"$10,500*",Excl. Govt. Charges,107100,SSE-AD-15915410,private,Volkswagen,Golf,77TSI VI,QLD,Hatch,Automatic,4cyl 1.2L Turbo Petrol,Private Seller Car,,"107,100 km"
27,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-77tsi-vi-manual-my13/SSE-AD-14969332/?Cr=27,2012 Volkswagen Golf 77TSI VI Manual MY13,2012,MY13,,10500,"$10,500*",Excl. Govt. Charges,82000,SSE-AD-14969332,private,Volkswagen,Golf,77TSI VI Manual,NSW,Hatch,Manual,4cyl 1.2L Turbo Petrol,Private Seller Car,,"82,000 km"
28,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-trendline-vi-manual-my13/SSE-AD-13260153/?Cr=28,2012 Volkswagen Golf 90TSI Trendline VI Manual MY13,2012,MY13,,10500,"$10,500*",Excl. Govt. Charges,159000,SSE-AD-13260153,private,Volkswagen,Golf,90TSI Trendline VI Manual,NSW,Hatch,Manual,4cyl 1.4L Turbo Petrol,Private Seller Car,,"159,000 km"
29,https://www.carsales.com.au/cars/details/2012-volkswagen-golf-90tsi-trendline-vi-manual-my13/SSE-AD-12213769/?Cr=29,2012 Volkswagen Golf 90TSI Trendline VI Manual MY13,2012,MY13,,10600,"$10,600*",Excl. Govt. Charges,98800,SSE-AD-12213769,private,Volkswagen,Golf,90TSI Trendline VI Manual,NSW,Hatch,Manual,4cyl 1.4L Turbo Petrol,Private Seller Car,,"98,800 km"
